и,and
павильон,pavilion
патруль (m),patrol
портовый,port (adj)
проситься/по- (+inf or в/на +a),to ask for
скульптор,sculptor
упираться/упереться (в +a),to lean (against); come up against
уполномоченный,plenipotentiary; person authorized
шайба,washer; (hockey) puck
штатский,civilian (adj) (not military)
штык,bayonet
альбом,album
Богородица,the Virgin
валовой,gross (adj)
гол,goal (sport)
грузчик,docker; freight handler
двусторонний,"double-sided, two-way; bilateral"
девальвация,devaluation
десятина,desiatina (about a hectare)
козырёк,peak (of cap)
субъективный,subjective
вожжа,rein
гамма,"scale; gamut, range"
карниз,cornice; ledge
древесина,timber
опрос,survey; questioning
католический,Catholic (adj)
комета,comet
литератор,"literary man, man of letters"
перевозка,transportation
подвижный,"mobile, agile"
проектный,planning (adj); projected
раковина,"(sea)shell; sink, wash-basin"
семечко,(small) seed
сера,sulphur
сметана,sour cream
суждено (+d +inf),it is fated
ввод,bringing in
внешнеполитический,foreign-policy (adj)
вредитель (m),pest
дотация,subsidy
жилетка,waistcoat
заболевание,illness
закалка,"physical training, fitness"
залежь (f),(mineral) deposit
зерновой,grain (adj)
изготовляться/изготовиться,to be manufactured; get ready
инспекция,inspection
коллективизация,collectivization
конструкторский,design (adj)
кооперация,cooperation
лесничий,"forest warden, ranger"
лишение,deprivation
производитель (m),producer
феномен,phenomenon
радист,radio operator
упрочение,strengthening
уран,uranium
хам ,boor (coll)
хрустальный,crystal (adj)
алкоголик,alcoholic (noun)
чреватый (+inst),fraught (with)
география,geography
душевно,mentally; cordially
известь (f),lime (chemical)
конюшня,stable
крупа,groats (grain)
лягушка,frog
металлургия,metallurgy
мыс,"cape, promontory"
обследовать (i/p) (+a),to investigate
отрез,cut
перемирие,truce
плот,raft
предусматриваться (i),"to be envisaged, be stipulated"
принуждение,compulsion
прирост,increase
разгадывать/разгадать (+a),"to guess, work out"
растворять/растворить (+a),to open; dissolve
реактивный,jet-propelled
рысь (f),trot; lynx
рюкзак,rucksack
связист,signaller; communications engineer
синтетический,synthetic
сострадание,compassion
старт,start (sport)
сушить/вы- (+a),to dry (sth)
декада,ten-day period
завоеватель (m),conqueror
катушка,"reel, spool"
китаец,Chinaman
комендатура,commandant’s office
котлета,"cutlet; meatball, hamburger"
математический,mathematical
микрофон,microphone
обострение,"intensification, sharpening"
пират,pirate
плавки (pl),swimming trunks
поваренный,culinary
престарелый,"aged, of advanced years"
пурга,blizzard
репортёр,reporter
свинство ,swinish trick (coll)
секретарша ,(female) secretary (coll)
таёжный,taiga (adj)
убеждённость (f),conviction
шотландский,Scottish
шпага,sword
штабной,"staff, headquarters (adj)"
щепа,"splinter, chip"
эволюция,evolution
экватор,equator
ягнёнок,lamb
австралийский,Australian (adj)
антисемитизм,antisemitism
боб,bean
булавка,pin
ватага,"band, gang"
воззвание,appeal
всемерный,"utmost, every kind of"
дебют,debut
естествознание,natural science
милосердие,"mercy, charity"
карусель (f),"merry-go-round, carousel"
кондиционер,air conditioner
хозрасчёт,self-financing
чутьё,"scent; instinct, intuition"
накалённый,white-hot; tense
новатор,innovator
оптимальный,optimal
остов,framework
отсек,compartment
прищуриваться/прищуриться,"to screw up one’s eyes, half close one’s eyes"
пробег,"run, race"
прослезиться (р),to shed tears
скула,cheekbone
ракетный,rocket (adj)
резьба,carving
родовой,ancestral; generic; birth (adj)
социал-демократический,social-democratic
туалет,toilet
футболист,footballer
чемоданчик,small suitcase
шовинизм,chauvinism
шоры (pl),blinkers
аванс,advance (payment)
атеистический,atheistic
бабушкин,grandmother’s (possessive adj)
гипсовый,plaster
ересь (f),heresy
застенок,torture-chamber
кефир,"kefir, yoghurt-type drink"
извещать/известить (+a),"to inform, notify (bookish)"
калач,kalach (small white loaf)
кличка,nickname; name (of pet animal)
колокольчик,small bell; bluebell
композиция,composition
контур,contour; outline; electrical circuit
координация,coordination
кочка,hummock
кубик,child’s building brick
кура ,hen (coll) (=курица)
кустарник,"bushes, shrubs"
ледниковый,glacial
лепить/вы- (+a),"to model, mould"
лирика,lyric poetry
медлить (i),"to be slow, tarry"
миленький,"sweet, nice, dear"
мозаика,mosaic
нагреваться/нагреться,"to warm os, warm up"
обновление,renovation
познавать/познать (+a),"to get to know, experience"
приостанавливаться/приостановиться,"to stop (for a while), pause"
расписание,timetable
сажа,soot
светило,luminary
сечение,cutting; section
слива,plum
сношение,intercourse
туша,carcass
упряжка,"team (of horses, dogs); harness"
утопический,utopian
ходовой,"(coll) popular; operational, working"
чувствительность (f),sensitivity
чудный,wonderful
фара,headlamp
шлюз,"lock, sluice"
шов,seam
шрам,scar
эмигрант,"emigrant, emigre"
азот,nitrogen
аристократ,aristocrat
бес,demon
беседка,summer-house
благоустройство,equipping with amenities
болотный,marsh (adj)
брошка,brooch
варьировать (i) (+a),"to vary, modify"
ветвиться/раз-,to branch
вишь,look!
водопровод,water-pipe
возбуждаться/возбудиться,to become aroused
восковой,wax (adj)
восторгаться (i) (+inst),to be delighted (with)
кинотеатр,cinema
доступ (к +d),access (to)
объект,"object; construction site, building"
губернатор,governor
дворянство,gentry
дивиться/по- (+d),"to wonder, marvel (at) (coll)"
диктатор,dictator
жёлоб,"gutter, chute"
военно-морской,naval
жилка,vein
измельчённый,"crumbled, chopped up"
испарение,evaporation
катер,"cutter, launch (boat)"
текстильный,textile (adj)
тюк,bale
отвал,"slag-heap, dump"
истечение,"outflow; expiry, termination"
керосиновый,kerosene (adj)
конус,cone
крепостничество,serfdom
ледовый,ice (adj)
лепёшка,"flat cake; scone; lozenge, pastille"
лесник,"forester, forest ranger"
максимум,maximum
машинистка,typist
общенародный,"national, of the whole people"
оригинал,original; eccentric (noun)
ориентация,orientation
осыпать (i/p) (+a +inst),to shower (s.o./sth with sth)
пёрышко ,(little) feather (coll)
пеший,"pedestrian, foot (adj)"
питерский ,St Petersburg (adj) (coll)
победоносный,victorious
карать/по- (+a),to punish
полковой,regimental
приписка,(written) addition
промеж (+g or +inst),between (coll)
резец,cutting tool; incisor (tooth)
репродукция,reproduction
рисоваться (i),"to show off, pose; seem"
рукоятка,handle
серп,sickle
сирень (f),lilac
собачонка ,little dog (coll)
соприкосновение,contact
сплав,alloy
срез,cut; cut edge
сток,flow; drain
струйка,"thin stream, trickle"
сыр,cheese
термометр,thermometer
транспортировка,transportation
трюм,hold (of ship)
угодье,usable land
уцелевший,surviving
участница,participant (f)
имение,estate
инстинкт,instinct
интенсивный,intensive
испанский,Spanish (adj)
извозчик,"carrier, cabman"
исследовательский,research (adj)
кавказский,"Caucasian, of the Caucasus"
казарма,barracks
капкан,trap
карьерист,careerist
кастрюля,saucepan
кашель (m),cough
кинжал,dagger
кишка,"gut, intestine"
клинок,blade
клоун,clown
клубок,ball (of wool etc.)
кобель (m),male dog
кое-какой,"some, certain"
коммерческий,commercial
коллекционер,collector
колодец,well
колотить/по- (+a),to batter
колючка,prickle
комплект,"set, complete set"
конвой,escort
коньки (m pl),skates
коньяк,"cognac, brandy"
координировать (i/p) (+a),to coordinate
копошиться (i),to swarm
копчёный,smoked
копьё,spear
королёвский,royal
коммунальный,communal
космонавт,cosmonaut
краб,crab
красться (i),to creep
кроткий,"gentle, meek"
кругозор,"horizon, outlook"
кружить (i) (+a),to spin; circle
крымский,Crimean
кудрявый,curly
курсы (m pl),"course, courses (of study)"
лавина,avalanche
лампада,icon-lamp
ландшафт,landscape
легкомыслие,thoughtlessness
летопись (f),chronicle
ловля,catching
ложный,false
лупа,magnifying glass
люлька,cradle
магистраль (f),main line; main road
магнит,magnet
мамин,mother’s (possessive adj)
мартовский,March (adj)
маскировка,"disguise, camouflage"
мах,"swing, stroke"
маятник,pendulum
мгновенный,instantaneous; momentary
медик,doctor; medical specialist
медлительный,slow
месть (f),revenge
метать/метнуть (+a),"to throw, cast"
метко,accurately
механизировать (i/p) (+a),to mechanize
мираж,mirage
миф,myth
многовековой,centuries-old
мобилизация,mobilization
морщина,wrinkle
мох,moss
муравей,ant
муть (f),sediment
мысленный,mental
мычать (i),to moo; bellow
набат,alarm bell
навеки,for ever
наглый,impudent
надстройка,additional storey; superstructure
наёмник,mercenary
наличный,available; cash (adj)
напрямик ,directly; bluntly (coll)
насаживать/насадить (+a на +a),to fix (sth onto sth)
населённый,inhabited
насильно,by force
насмерть,to (the) death
настораживаться/насторожиться,"to prick up one’s ears, be on one’s guard"
насыщать/насытить (+a +inst),"to satiate; fill (sth with sth), saturate"
насыщенный,saturated; rich (in content)
нате ,"here you are, take it (coll)"
натягивать/натянуть (+a),to pull tight; pull on
неблагоприятный,unfavourable
невесёлый,joyless
невесть ,no-one knows (coll)
невзрачный,unattractive
неграмотность (f),illiteracy
незаменимый,irreplaceable
неминуемо,inevitably
необозримый,immense
необычно,unusually
неосторожный,careless
неотъемлемый,"inalienable, integral"
непоправимый,irreparable
непременный,indispensable
неприлично,indecently
неравномерный,irregular
несложный,uncomplicated
несомненный,undoubted
нетронутый,untouched
неудобство,"discomfort, inconvenience"
неустойчивый,unstable
неприемлемый,unacceptable
нотка,note (sound)
нудный,tedious
обиженный,offended
обитать (i),"to live, reside"
обкладывать/обложить (+a), to put round
облагать/обложить (+a),to assess (for tax)
обниматься/обняться,to embrace one another
обогащаться/обогатиться,to become rich
обогащать/обогатить (+a),to enrich
обои (pl),wallpaper
обороняться/оборониться (от +g),to defend os (from)
обречённый,doomed
обронить (р) (+a),to drop (and lose); let fall
обстоятельный,"detailed, thorough"
обстрел,bombardment
обучать/обучить (+a +d),to teach (s.o. sth)
обыденный,ordinary
окидывать/окинуть (взглядом),to glance over
оккупационный,occupation (adj)
оковы (pl),fetters
опережать/опередить (+a),to outstrip; forestall
оправляться/оправиться,to recover
организованность (f),good organization
организовывать/организовать (+a),to organize
орудийный,"gun, cannon (adj)"
освобождённый,"liberated, free"
осенью,in autumn
оскорбительный,insulting
слабеть/о-,to become weak
ослепительный,dazzling
оснащать/оснастить (+a +inst),to equip (sth with sth)
осознавать/осознать (+a),to realize
остальное,"the rest, remainder"
стричь/о- (+a),"to cut, clip"
островок,islet
отбой,"beating off, repulsion; retreat"
отбывать/отбыть (+a),to serve (a period of time); (bookish) depart
отвага,courage
отваливать/отвалить (+a),to push away (sth heavy); cast off (boat)
отвесный,steep
отклик,response
отрывок,excerpt
ошибочный,mistaken
панихида,requiem
паром,ferry
пассивный,passive
певец,singer
пепельница,ashtray
перебрасывать/перебросить (+a через +a),to throw over
передумывать/передумать,to change one’s mind
перекрывать/перекрыть (+a),to cover again; block off
перелёт,flying over; migration (birds)
переноситься/перенестись,to be carried (over)
переодеваться/переодеться,to change one’s clothes; disguise os
переплетаться/переплестись,to be interwoven
переработка,reworking
переступать/переступить (+a or через +a),to step over
персидский,Persian
персонал,"personnel, staff"
пилить (i) (+a),to saw; (coll) nag
пластический,plastic (adj); artistically expressive
пленительный,captivating
плотность (f),solidity; density
побаиваться (i) (+g),to be rather afraid of
грузиться/по-,"to get on board, embark"
погрузка,loading
подавлять (i) (+a),to suppress
подпирать/подпереть (+a),to prop up
подставлять/подставить (+a под +a),to put under
подталкивать/подтолкнуть (+a),to push slightly; (coll) urge on
подтянутый,"self-controlled; well turned out, smart"
жертвовать/по- (+a) ,to donate; (+inst) sacrifice
покрывало,cover; bedspread
половица,floorboard
получка ,"pay, wages (coll)"
полый,hollow
махать/по- (+inst),to wave (for a while)
медлить/по-,"to delay, hesitate"
мерещиться/по-,"to seem (coll), imagine"
помёт,"dung, droppings"
пометка,"mark, note"
поприще,field (of activity)
попутно,on the way; in passing
попутный,accompanying; passing
радовать/по- (+a),"to gladden, please"
радоваться/по- (+d),to be glad (at)
поражённый,defeated; astounded
порывисто,jerkily; suddenly
постигать/постичь (+a),to comprehend; befall
потемневший,darkened
толковать/по- (о +pr с +inst),to have a talk about sth with s.o. (coll)
потомственный,hereditary
потрясённый,"staggered, stunned"
похороны (pl),funeral
по-человечески,like a human being
почём ,how much?; how? (coll)
почтальон,postman
почтение,respect
предок,ancestor
предсказание,prediction
премьера,"premiere, first night"
препятствовать (i) (+d),to hinder
приглядываться/приглядеться (к +d),to look closely at (coll)
пригород,suburb
приёмный,reception (adj); adopted
приземистый,"stocky, squat"
прикрываться/прикрыться (+inst),"to use as a cover, hide behind"
применительно (к +d),with reference to
примыкать (i) (к +d),"to join, side with; (i only) примкнуть p adjoin, be adjacent to"
приподнятый,elated
прихватывать/прихватить (+a),to grip; fasten; take (coll)
причинять/причинить (+a),to cause
будить/про- (+a),to awaken
пробыть (р),to spend (a certain time)
проголодаться (р),to get hungry
продвигаться/продвинуться,"to advance, move forward"
продовольственный,food (adj)
продуктивность (f),productivity
проезд,thoroughfare; journey
прозвище,nickname
преступность (f),"crime, criminality"
прокат,hire
проклятие,curse
пролезать/пролезть (в +a),"to climb through, go through"
променивать/променять (+a на +a),to exchange (sth for sth)
промысел,"trade, business"
пронзительный,penetrating
полноценный,"genuine, complete, of good quality"
просвет,shaft of light; aperture
простительно,pardonably
противопоставлять/противопоставить (+a +d),"to contrast (sth with sth), set sth against sth"
протяжно,"slowly, lingeringly; with a drawl"
публикация,publication
пуск,"starting up, launch"
пятёрка,the number five; excellent (exam mark)
развитой,"developed, mature"
разговориться (p),to become talkative
разевать/разинуть (+a),to gape (coll)
разогревать/разогреть (+a),to heat up
разрастаться/разрастись,"to grow, expand, spread"
разрезать (i/p) (+a),to cut up
разузнавать/разузнать (+a),to find out
разъезд,"departure, dispersal"
разъяснение,explanation
распрощаться (p) (с +inst),to say goodbye (to s.o.) (coll)
расстроенный,upset
расхаживать (i),to pace up and down
рвануть (р) (+a),to tug; (coll) jerk into motion
реконструировать (i/p) (+a),to reconstruct
рельеф,"relief (geog, art)"
репрессия,repression
родительский,parents’
родник,spring (water source)
романтика,"romance, romanticism"
реагировать/от- (на +a),to react (to)
рубиновый,ruby (adj)
рубрика,"heading, rubric"
рукопожатие,handshake
рыболовный,fishing (adj)
садовод,gardener
самка,female (animal)
самогон,home-made vodka
самоубийство,suicide
сахарный,sugary
свёкла,beet
свергать/свергнуть (+a),to overthrow
светать (i),"to get light, dawn"
светский,(high) society (adj); secular
свойственно (+d),(it is) characteristic (of)
сгорание,combustion
сгоряча,in the heat of the moment
сдвинутый,shifted
сдерживаться/сдержаться,to control os
свитер,sweater
сектор,sector
серьёзность (f),seriousness
сибиряк,Siberian
сито,sieve
сквозной,through (adj)
склянка,"phial, bottle"
сковородка,frying-pan
скопляться/скопиться,to accumulate
скороговорка,tongue-twister; rapid speech
славиться (i) (+inst),to be famous for
славянский,Slavonic
сложение,"build, composition; addition (arithmetic)"
смывать/смыть (+a),to wash off
сниматься/сняться,to be taken off; move off; have one’s picture taken; come off; act in a film; be photographed
собачка,small dog; trigger; catch
соблюдаться (i),"to be observed, be adhered to"
соприкасаться (i) (с +inst),"to adjoin, be in contact with"
сорняк,weed
социал-демократ,social democrat
сочетать (i/p) (+a с +inst),to combine (sth with sth)
спад,"fall, slump"
спекуляция,speculation
спешно,"urgently, hurriedly"
спешный,urgent
старательно,"diligently, painstakingly"
стая,"flock, pack"
стержень (m),"pivot, rod"
стирка,washing (of clothes)
стратегия,strategy
стропило,"rafter, roof beam"
суеверный,superstitious
сухопутный,ground (adj) (troops)
сущий ,"real, absolute (coll)"
сюртук,frock-coat
табличка,"door-plate, nameplate, plaque"
тактический,tactical
танковый,tank (adj)
тара,packaging
татарский,Tatar (adj)
творчески,creatively
телёнок,calf
толком ,clearly; properly (coll)
теоретически,theoretically
терзать (i) (+a),to torment; pull about
теснота,tightness; cramped conditions
техникум,technical college
тигр,tiger
томительный,tiresome
тонко,thinly; delicately; subtly
торт,cake
трамплин,spring-board; ski-jump
тревожиться/вс-,to worry
треугольник,triangle
тринадцать,thirteen
тщательный,thorough
убираться/убраться,"to tidy up; clear off, make os scarce (coll)"
уговор,agreement; persuasion
указание,indication; instruction
удаление,removal
удирать/удрать,"to run away, do a bunk (coll)"
указываться/указаться,to be indicated
уклончиво,evasively
укор,reproach
укутывать/укутать (+a),to wrap (s.o.) up
улучшаться/улучшиться,to improve
умелый,skilful
умножать/умножить (+a),to multiply
уныние,"dejection, gloom"
упорство,persistence; obstinacy
управляться/управиться (с +inst),to cope with (coll)
урегулирование,regulation; adjustment
усатый,with a moustache; whiskered
условливаться/условиться (c +inst о +pr/inf),to make an arrangement (with s.o. about sth/to do sth)
условно,"conditionally, provisionally"
услыхать (р) (+a),to hear (= услышать р)
усматривать/усмотреть (+a в +pr),"to see (sth in sth), interpret as"
ухватывать/ухватить (+a),to seize
факел,torch
фактический,actual
фермер,farmer
физически,physically
флейта,flute
формировать/с- (+a),to form
хижина,"shack, cabin"
хихикать/хихикнуть,to giggle
хладнокровный,"cool, calm, composed"
храбрость (f),bravery
хрипло,hoarsely
хриплый,hoarse
царица,"tsarina, empress"
частенько ,quite often (coll)
частично,partially
червь (m),worm
черноморский,Black Sea (adj)
чудно,wonderfully
чуткий,sensitive
шалаш,cabin (made of branches)
шампанское,champagne
шахматный,chess (adj)
шкафчик,small cupboard
шоссейный,highway (adj)
щёлка,chink
щит,shield
экономно,"economically, thriftily"
энергетика,power engineering
эстрада,stage
этика,ethics
янтарный,amber (adj)
янтарь (m),amber
ад,hell
аккорд,chord
активизация,activization
алтарь (m),altar
антенна,antenna; aerial
апельсин,orange
апостол,apostle
армейский,army (adj)
ассигнование,allocation
баран,ram (sheep)
баян,"bayan, Russian accordion"
безграмотность (f),illiteracy
бездна,abyss; (coll) (+g) great quantity
бездушный,heartless
беззаветно,selflessly
безмолвно,silently
безнаказанно,with impunity
безошибочно,"correctly, accurately"
безуспешно,unsuccessfully
белила (pl),whitewash
беречься (i),to be careful
бесследно,without trace
бесстыдно,shamelessly
бизнесмен,businessman
благополучный,successful
блаженство,bliss
допустимый,permissible
блиндаж,dug out
блюдечко,"small dish, saucer"
богач,rich man
бодро,"cheerfully, heartily"
бойко,"boldly, briskly"
бомбить/раз- (+a),to bomb
браслет,bracelet
брожение,ferment
броня (бронь),"reservation, booking"
броня,armour-plating
бросок,throw; bound
будка,booth
буквальный,literal
бутерброд,(open) sandwich
бухгалтер,bookkeeper
бюрократический,bureaucratic
бюрократия,bureaucracy
вдребезги,to pieces
венец,"crown, wreath; halo"
веселить/раз- (+a),to cheer up; amuse
весомый,weighty
вещица,"little thing, knick-knack"
взаимовыгодный,mutually advantageous
взыскание,"penalty, punishment"
виноградник,vineyard
винт,screw; propeller
долгосрочный,long-term
вице-президент,vice-president
влево,to the left
внушительно,impressively
вовлекать/вовлечь (+a в +a),to involve (s.o. in sth)
водопад,waterfall
воедино,together
военщина,militarism; militarists
вожак,"guide, leader"
возвышенный,elevated; lofty
вол,ox
вопиющий,"flagrant, scandalous"
воровство,stealing
ворона,crow
ворчливо,"grumpily, querulously"
восемьсот,eight hundred
всеобъемлющий,"comprehensive, all-embracing"
вульгарный,vulgar
входной,entrance (adj)
выгружать/выгрузить (+a),to unload
выдаваться/выдаться,to stick out
выдача,"issue, giving out"
выдвигаться/выдвинуться,to move out; go up in the world
выжидательно,expectantly
выжидательный,"waiting, expectant"
выжидать/выждать (+a),to wait (for)
выздоравливать/выздороветь,"to recover, get better"
выныривать/вынырнуть,to come to the surface
высовывать/высунуть (+a),to thrust out
высококачественный,high-quality
геройский,heroic
глинистый,clay (adj)
глоток,"gulp, mouthful"
гнуть/со- (+a),to bend
годный,suitable
голландский,Dutch
гололёд,covering of ice; icy weather
горлышко,neck (of bottle); small throat
горчица,mustard
грозиться/по- (+inf),to threaten (coll)
грохотать/за-,"to thunder, rumble"
гряда,ridge; bed (garden)
грядка,"bed (for plants), flowerbed"
губительный,destructive
девственный,virgin (adj)
дежурить (i),to be on duty
детвора ,kids (coll)
деяние ,"act, action (bookish)"
добродушно,"kindly, good-naturedly"
добываться/добыться,to be obtained
доверительно,confidentially
довериться (p) (+d),"to trust (in), confide in"
доверчивый,trusting
дождик,shower (rain)
докладчик,speaker (at conference)
доктрина,doctrine
донесение,"report, dispatch"
достоверный,reliable
дохнуть/по-,to die (of animals)
дышать/дохнуть,to breathe
дощечка,nameplate; small board
доярка,milkmaid
дрожь (f),trembling
дубина,"cudgel, club; blockhead, idiot"
дуга,"arc, curve"
дудка,"pipe, fife"
дымовой,smoke (adj)
дырявый,full of holes
дьявольски,devilishly
единодушно,unanimously
жалобный,plaintive; complaints (adj)
живучий,"hardy, enduring"
живьём ,alive (coll)
житие,"life, biography"
бормотать/за- (+a),to mutter
забрасывать/забросить (+a),"to throw, cast; abandon; neglect"
завершаться/завершиться,"to be finishing, end"
завещать (i/p) (+a +d),to bequeath (sth to s.o.)
загадочно,mysteriously
глохнуть/за-,to die away; stall (engine); go to seed
загонять (р) (+a),to tire out
загробный,beyond the grave
зад,"back, rear; rump, backside"
задолго,long before
зажигаться/зажечься,"to light up, be lit"
жмуриться/за-,to screw up one’s eyes; half-close one’s eyes
заинтересованный (в +pr),interested (in)
кипеть/за-,to boil
закладка,laying; bookmark
заматывать/замотать (+a),"to wind, twist; tire out"
ночевать/за-,to spend the night
заокеанский,transoceanic
запасаться/запастись,to stock up (with)
заподазривать/заподозрить (+a в +pr),to suspect (s.o. of sth)
запаздывать/запоздать (с +inst),to be late (with)
запрет,ban
запрягать/запрячь (+a),to harness
запутываться/запутаться,to get confused
заросший,overgrown
засаживаться/засесть,"to sit down, lodge os (coll)"
застенчивый,shy
затаивать/затаить (+a),to conceal
затруднять/затруднить (+a),"to make difficult, complicate; trouble"
затяжка,delay; inhalation (smoking)
заулыбаться (р),to start smiling
заурядный,"ordinary, mediocre"
зеленеть/по-,"to turn green, look green"
констатировать (i/p),to ascertain; certify
знаменитость (f),celebrity
зной,hot weather
зрелый,"mature, ripe"
зреть/со-,"to ripen, mature"
импортный,imported
идиллия,idyll
идол,idol
избивать/избить (+a),to beat up
излишне,excessively
иллюстрация,illustration
именины (pl),name-day
инерция,inertia
иностранец,foreigner
иронический,ironical
искание,search
испытанный,"tested, tried"
истекать/истечь,to flow out; expire (time)
истерия,hysteria
исток,source
истребление,extermination
исчерпывать/исчерпать (+a),to exhaust
кабала,slavery; servitude
каморка ,small room (coll)
каприз,caprice
каторжный,hard-labour (adj)
каучук,rubber
каяться/рас- (в +pr),to repent
кверху,upwards
кипа,"pile, stack"
кит,whale
кладка,laying
клетчатый,checked
климатический,climatic
клюква,"cranberry, cranberries"
кляча,nag (horse)
кобыла,mare
колесико,little wheel; cog
колечко,"little ring, ringlet"
колыбель (f),cradle
консерватория,"conservatoire, music academy"
консервный,canned food (adj)
контрреволюционер,counter-revolutionary
кормиться (i) (+inst),"(p по-) to be fed, eat; (p про-) live on"
королева,queen
корона,crown
корыстный,"self-interested, mercenary, selfish"
костяной,"bone (adj), made of bone"
кратковременный,"brief, short-term"
крашеный,painted; dyed
кривляться (i) ,to behave affectedly (coll)
криво,"crookedly, squint"
кружево,lace
крупно,on a large scale
кудри (pl),curls
купанье or купание,bathing
купе,compartment (train)
ладить/по- (с +inst),to get on with (s.o.)
лебедь (m/f),swan
легальный,legal
ледник,glacier
лесенка ,small staircase; short ladder (coll)
лесоруб,lumberjack
лизать/лизнуть (+a),to lick
лимон,lemon
лиса,fox
листать (i) (+a),to leaf through (coll)
лифт,"lift, elevator"
льгота,"privilege, advantage"
льдина,block of ice
любовный,love (adj)
медвежий,bear’s
меж (+inst or +g),between
мёрзнуть/за-,to freeze
мерить/из- (+a),to measure; try on (clothing)
мерцать (i),"to twinkle, flicker"
мех,fur
механизированный,mechanized
механически,mechanically
мещанский,"bourgeois, petty bourgeois; narrow-minded"
мещанство,"petty bourgeoisie, lower middle-class"
микроб,microbe
миндаль (m),almonds; almond tree
минимальный,minimum (adj)
многозначительно,meaningfully
молот,hammer
мольба,entreaty
монархический,monarchic
монопольный,monopoly (adj)
мотаться (i) ,to sway; rush about (coll)
моторный,"motor, engine (adj)"
мотоцикл,motorcycle
мошенник,swindler
мудрец,wise man
музейный,museum (adj)
мусорный,rubbish (adj)
мчать (i) (+a),"to rush, speed along"
навес,awning
навещать/навестить (+a),to visit
мясной,meat (adj)
нагрянуть (р),to come unexpectedly (coll)
надбавка,"addition, supplement"
наёмный,hired
накапливаться/накопиться,to accumulate
наклон,"incline, lean"
наподобие (+g),"like, resembling"
наполняться/наполниться (+inst),to fill (with)
нарастание,"growth, increase"
населять/населить (+a),to populate
наследственный,inherited
насовсем ,"for good, for ever (coll)"
наставник,"mentor, tutor"
натворить (р) (+g),"to get up to, do (sth bad) (coll)"
наталкиваться/натолкнуться (на +a),"to run into, come up"
нахальство,against impudence
наяву,while awake; for real
небосклон,horizon
невмешательство (в +a),non-interference (in)
невозможность (f),impossibility
наугад,at random
невольный,involuntary
недостойный,unworthy
нежели,than (old word) (= чем)
незаконно,illegally
нездоровый,unhealthy
некого (+inf),there is no-one
нелепо,absurdly; it’s absurd
неповторимый,"unique, exceptional"
непостижимый,incomprehensible
неправый,wrong
непривычный,"unaccustomed, unusual"
неприкосновенный,"untouchable, inviolable"
непроходимый,impassable; (coll) utter
несравненно,incomparably
нетерпеливый,impatient
неудачно,unsuccessfully
неуместный,"inappropriate, misplaced"
нефтепровод,oil pipeline
нехотя,unwillingly; unintentionally
ничтожество,nonentity
новизна,"novelty, newness"
ножик,"small knife, penknife"
ножницы (pl),scissors
нора,burrow
носик,small nose; toe (of shoe); spout
ночлег,"spending the night, night’s lodging"
ноша,burden
обводить/обвести (+a),to take round; (+inst) surround (with)
обитатель (m),inhabitant
облезлый ,"shabby, scruffy; mangy (coll)"
обнаружение,revealing; discovery
обоснование,"basis; grounds, justification"
обосновывать/обосновать (+a),"to substantiate, justify"
обострять/обострить (+a),"to intensify, worsen, aggravate"
образный,"graphic, evocative; figurative"
обувать/обуть (+a),to put shoes on s.o.; provide with shoes
обходительный,"courteous, well-mannered"
общеизвестный,"well-known, generally known"
община,community
объективность (f),objectivity
обыватель (m),man-in-the-street; philistine
обыск,(official) search
овация,ovation
оголённый,"bare, exposed"
огорчение,distress
огорчать/огорчить (+a),"to distress, disappoint"
одёргивать/одёрнуть (+a),"to straighten (clothing); (coll) call to order, tell s.o. to be quiet"
одиннадцатый,eleventh
одиночный,"individual, single, solitary"
озираться (i),to look round
злиться/о-,to get angry (coll)
озлобленный,embittered
ознакомление (с +inst),"familiarization, getting to know"
оказание,rendering
оккупировать (i/p) (+a),to occupy
оперный,"opera (adj), operatic"
опоздание,lateness
ориентироваться (i/p),to find one’s way; (на +a) be orientated towards
осведомляться/осведомиться (о +pr),to enquire about
освещаться/осветиться,"to be illuminated, light up"
оснащение,equipping; equipment
основательный,well-founded; solid; thorough
отбиваться/отбиться (от +g),"to break away from; repulse, beat off; stray"
отопление,heating
печатать/от- (+a),to print (off)
отправка,"sending off, dispatch"
отрекаться/отречься (от +g),to renounce (sth)
отрубать/отрубить (+a),to chop off
отставание,"lag, lagging behind"
отстранять/отстранить (+a),to push aside; remove
охлаждать/охладить (+a),to cool
пакость (f),dirty trick; filth
пальчик,small finger
паршивый,"mangy; shabby, nasty"
перегонять/перегнать (+a),"to outdistance, outstrip; drive (sth swh); distil"
передвигать/передвинуть (+a),to shift
переделывать/переделать (+a),"to remake, alter"
передник,apron; pinafore
переезд,crossing; removal (change of residence)
переигрывать/переиграть (+a),to play again; overact
переливаться/перелиться,"to flow (swh); overflow; (i only) glisten, play (of colours), modulate"
перелом,"break, fracture; turning-point"
перенос,"transfer, carrying over; hyphenation"
переносный,portable; metaphorical
переписывать/переписать (+a),to rewrite; copy out
переправа,crossing; crossing place ford
переселяться/переселиться,"to move, migrate"
переставлять/переставить (+a),to shift; rearrange
переть (i) ,"to shove, barge, push (coll)"
перехватывать/перехватить (+a),to intercept
перец,pepper
персона,person
писательский,"writer’s, literary"
плавный,"smooth, flowing"
планомерный,"planned, systematic"
плачущий,tearful
